fid,Facility,X,Y,Province,Hydro_MW,NHN_Work_U,GRanD_ID,HydroLAKES_ID,GINDEX,GINDEX_CONUS,Basin_Note,WECC_ADS_2032,Intake_Flow_Rate,Type,Water_License
98,McNair Creek,-123.5015484,49.5158173,British Columbia,10,08GB0X1,,,7187,,,,3.29891,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=44981382
99,Mears Creek,-126.2135782,49.8720355,British Columbia,3.8,08HE0X1,,966287,8222,,,,1.39885,reservoir,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=44982566
100,Mica,-118.5705149,52.075872,British Columbia,2746,08NB000,250,628,14268,100275,CRB,,1840.592,impoundment,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=71654530
101,Miller Creek,-122.8713517,50.3498831,British Columbia,33,08MG001,,,9303,,,,5.49997,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=61661877
102,Montrose,-124.1873317,50.6231362,British Columbia,73,08GC0X0,,,10351,,,X,,,
103,Moresby Lake,-132.1282017,52.9344871,British Columbia,6,08OB000,,89869,16974,,X,X,,,
105,Northwest Stave River,-122.4498412,49.62283127,British Columbia,17.5,08MHBX1,,,7548,,,,31.5,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=60315691
107,Ocean Falls,-127.686153,52.3510827,British Columbia,15,08FD0X3,18,7231,14898,,,X,,,
110,Oldman River,-113.8960384,49.5610077,Alberta,32,05AA000,278,8051,7264,,,,,reservoir?,X
112,Outlet Works,-115.5891102,52.9626208,Alberta,20.5,05DD000,245,7012,16754,,,X,,reservoir,
113,Peace Canyon,-121.9949698,55.9825712,British Columbia,694,07FA000,7,76153,25151,,X,,,,
115,Pine Creek (Atlin),-133.6445721,59.58290327,British Columbia,2.1,09AAC00,,4868,35621,,X,X,,,
116,Pingston Creek,-117.9484147,50.5500653,British Columbia,45,08NE002,,,10047,94711,CRB,,9.40118,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=44981916
117,Pocaterra,-115.1193763,50.6993241,Alberta,15,05BF000,263,97979,10422,,,X,,,
119,Ptarmigan Creek,-120.9111873,53.67890378,British Columbia,3.3,08KA0X1,,,18472,,,,4.53069,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=44983854
120,Puntledge,-125.0347814,49.68837621,British Columbia,24,08HB0X3,30,8037,7174,,,,28.3168,run-of-river?,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=44981168
122,Raging River 2,-127.233472,50.3884208,British Columbia,8,08HE003,,98949,9622,,,,15.82286,reservoir,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=44980430
123,Raymond,-112.6924024,49.4070986,Alberta,18,05AF000,,,6922,,,,,run-of-river,X
124,Revelstoke,-118.1939447,51.0485631,British Columbia,2480,08ND000,257,648,11454,96566,CRB,,2633.512,impoundment,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=71654752
126,Rundle,-115.3735507,51.0886809,Alberta,50,05BE000,,937834,11476,,,,59.4,reservoir,https://avw.alberta.ca/pdf/00080715-00-00.pdf
127,Ruskin,-122.4083408,49.1949732,British Columbia,105,08MHBX1,,101899,6493,,,,356.79168,reservoir,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=45039784
128,Rutherford Creek,-122.8669537,50.2726971,British Columbia,49.9,08MG001,,,9304,,,,18.40592,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=44982725
130,Seton,-121.9241239,50.6727415,British Columbia,48,08MEAX0,21,7728,10367,,,,185.24,reservoir,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=54526179
131,Seven Mile,-117.5040983,49.0301612,British Columbia,805,08NEB00,287,102327,5828,89148,CRB,,1549.4736,impoundment,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=44984757
132,Shuswap Falls,-118.8133272,50.2960082,British Columbia,6,08LC000,,,8986,,,,31.14848,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=44980818
138,South Cranberry Creek 2,-118.1041359,50.771577,British Columbia,9,08NE002,262,97899,10750,95638,CRB,,6.84979,run-of-river?,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=44981471; https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=57354558
139,South Slocan,-117.5197117,49.4554865,British Columbia,54,08NHA00,,,6884,90540,CRB,,305.82144,run-of-river?,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=71659275
140,Spillimacheen,-116.4089432,50.9033621,British Columbia,4,08NA002,,,11115,96115,CRB,,8.49504,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=45048839
141,Spray,-115.4023779,51.0745112,Alberta,112,05BE000,,,11476,,,,45.7,reservoir?,https://avw.alberta.ca/pdf/00080715-00-00.pdf
142,St. Mary,-113.1087392,49.3665177,Alberta,2,05AE000,281,8108,6566,,,X,,,
143,St. Mary River,-112.7165494,49.4526237,Alberta,7,05AF000,,,6922,,,X,,,
144,Stokke Creek,-122.0342551,49.7110622,British Columbia,22,08MG0X2,,,7903,,,,8.3931,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=61649253
