id,left,top,right,bottom,lon,lat,area,areatotal,areatotal2,GINDEX,DSIG,OUTLETG,MASK,NLDAS_ID
13029,-128.500000000000000,53.500000000000000,-128.375000000000000,53.375000000000000,-128.437500000000000,53.437500000000000,115092486.778018191456795,369080000.000000000000000,230523258.902548789978027,18060,18059,18059,1,x109y52
13030,-128.500000000000000,53.375000000000000,-128.375000000000000,53.250000000000000,-128.437500000000000,53.312500000000000,115430772.124530613422394,167330000.000000000000000,231199280.186042249202728,17708,18059,18059,1,x109y51
13031,-128.500000000000000,53.250000000000000,-128.375000000000000,53.125000000000000,-128.437500000000000,53.187500000000000,115768508.061511665582657,134220000.000000000000000,115768508.061511665582657,17356,17708,18059,1,x109y50
13032,-128.500000000000000,53.125000000000000,-128.375000000000000,53.000000000000000,-128.437500000000000,53.062500000000000,116105692.981484830379486,318930000.000000000000000,464422219.304021120071411,17004,-1,17004,3,x109y49
13033,-128.500000000000000,53.000000000000000,-128.375000000000000,52.875000000000000,-128.437500000000000,52.937500000000000,116442325.279539749026299,186130000.000000029802322,116442325.279539749026299,16652,-1,16652,2,x109y48
13034,-128.500000000000000,52.875000000000000,-128.375000000000000,52.750000000000000,-128.437500000000000,52.812500000000000,116778403.353440448641777,219320000.000000000000000,233556806.706880897283554,16300,-1,16300,3,x109y47
13035,-128.500000000000000,52.750000000000000,-128.375000000000000,52.625000000000000,-128.437500000000000,52.687500000000000,117113925.603566139936447,137380000.000000000000000,117113925.603566139936447,15948,-1,15948,2,x109y46
13036,-128.500000000000000,52.625000000000000,-128.375000000000000,52.500000000000000,-128.437500000000000,52.562500000000000,117448890.432960584759712,120510000.000000000000000,117448890.432960584759712,15596,-1,15596,2,x109y45
13037,-128.500000000000000,52.500000000000000,-128.375000000000000,52.375000000000000,-128.437500000000000,52.437500000000000,117783296.247302532196045,147030000.000000000000000,117783296.247302532196045,15244,-1,15244,2,x109y44
13149,-128.375000000000000,53.500000000000000,-128.250000000000000,53.375000000000000,-128.312500000000000,53.437500000000000,115092486.778018191456795,170890000.000000000000000,115092486.778018191456795,18061,-1,18061,2,x110y52
